"Step","Entropy SGD - L=20, E=10, SEED=51 - complexity/PACBAYES_FLATNESS","Entropy SGD - L=20, E=10, SEED=51 - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD - L=20, E=10, SEED=51 - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03753661745744393","0.03753661745744393","0.03753661745744393"
"2","0.03367255360213815","0.03367255360213815","0.03367255360213815"
"4","0.0331845455830234","0.0331845455830234","0.0331845455830234"
"6","0.03367255360213815","0.03367255360213815","0.03367255360213815"
"8","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"9","0.03180185579846816","0.03180185579846816","0.03180185579846816"
