"Step","Entropy-SGD L=25, E=8, SEED=51 - complexity/PACBAYES_FLATNESS","Entropy-SGD L=25, E=8, SEED=51 - complexity/PACBAYES_FLATNESS__MIN","Entropy-SGD L=25, E=8, SEED=51 - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03367255360213815","0.03367255360213815","0.03367255360213815"
"2","0.03330521643851908","0.03330521643851908","0.03330521643851908"
"4","0.0331845455830234","0.0331845455830234","0.0331845455830234"
"6","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"7","0.03180185579846816","0.03180185579846816","0.03180185579846816"
