"Step","Entropy-SGD, L=5, E=40, SEED=51 - complexity/PACBAYES_FLATNESS","Entropy-SGD, L=5, E=40, SEED=51 - complexity/PACBAYES_FLATNESS__MIN","Entropy-SGD, L=5, E=40, SEED=51 - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03522667100677733","0.03522667100677733","0.03522667100677733"
"8","0.03271048011942892","0.03271048011942892","0.03271048011942892"
"16","0.031884889751385495","0.031884889751385495","0.031884889751385495"
"24","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"32","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"39","0.03180185579846816","0.03180185579846816","0.03180185579846816"
