"Step","Entropy SGD, L=20, s=51, gamma=0.003, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.003, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.003, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.020444049870558017","0.020444049870558017","0.020444049870558017"
"2","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"4","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"6","0.028268315682204857","0.028268315682204857","0.028268315682204857"
"8","0.028268315682204857","0.028268315682204857","0.028268315682204857"
"9","0.028588168907596335","0.028588168907596335","0.028588168907596335"
