"Step","Entropy SGD, L=20, s=51, gamma=3, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=20, s=51, gamma=3, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=3, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.019910726621771832","0.019910726621771832","0.019910726621771832"
"2","0.020085382359658763","0.020085382359658763","0.020085382359658763"
"4","0.020438347755138156","0.020438347755138156","0.020438347755138156"
"6","0.020438347755138156","0.020438347755138156","0.020438347755138156"
"8","0.020438347755138156","0.020438347755138156","0.020438347755138156"
"9","0.020438347755138156","0.020438347755138156","0.020438347755138156"
