"Step","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.022897335800380163","0.022897335800380163","0.022897335800380163"
"2","0.02631877644903756","0.02631877644903756","0.02631877644903756"
"4","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"6","0.027891691812580475","0.027891691812580475","0.027891691812580475"
"8","0.02792358024355337","0.02792358024355337","0.02792358024355337"
"9","0.02792358024355337","0.02792358024355337","0.02792358024355337"
