"Step","Entropy SGD, L=20, s=51, gamma=0.00003, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.00003, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.00003, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.020444049870558017","0.020444049870558017","0.020444049870558017"
"2","0.02658616678888416","0.02658616678888416","0.02658616678888416"
"4","0.02658616678888416","0.02658616678888416","0.02658616678888416"
"6","0.02631877644903756","0.02631877644903756","0.02631877644903756"
"8","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"9","0.027258733627224155","0.027258733627224155","0.027258733627224155"
