"Step","Entropy SGD, L=20, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.019081113639016937","0.019081113639016937","0.019081113639016937"
"2","0.022420892461322922","0.022420892461322922","0.022420892461322922"
"4","0.022897335800380163","0.022897335800380163","0.022897335800380163"
"6","0.023851391848851114","0.023851391848851114","0.023851391848851114"
"8","0.023851391848851114","0.023851391848851114","0.023851391848851114"
"9","0.026019699556579214","0.026019699556579214","0.026019699556579214"
