"Step","Entropy SGD, L=20, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03367255360213815","0.03367255360213815","0.03367255360213815"
"2","0.0331845455830234","0.0331845455830234","0.0331845455830234"
"4","0.032945807840641286","0.032945807840641286","0.032945807840641286"
"6","0.03276899669146187","0.03276899669146187","0.03276899669146187"
"8","0.03271048011942892","0.03271048011942892","0.03271048011942892"
"9","0.03271048011942892","0.03271048011942892","0.03271048011942892"
