"Step","Entropy SGD, L=5, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS","Entropy SGD, L=5, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD, L=5, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03577708763999664","0.03577708763999664","0.03577708763999664"
"8","0.03271048011942892","0.03271048011942892","0.03271048011942892"
"16","0.0315825325118693","0.0315825325118693","0.0315825325118693"
"24","0.030942346674889147","0.030942346674889147","0.030942346674889147"
"32","0.030942346674889147","0.030942346674889147","0.030942346674889147"
"39","0.030942346674889147","0.030942346674889147","0.030942346674889147"
