"Step","Entropy SGD, L=10, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS","Entropy SGD, L=10, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD, L=10, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03577708763999664","0.03577708763999664","0.03577708763999664"
"4","0.03367255360213815","0.03367255360213815","0.03367255360213815"
"8","0.03271048011942892","0.03271048011942892","0.03271048011942892"
"12","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"16","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"19","0.03180185579846816","0.03180185579846816","0.03180185579846816"
