"Step","Entropy SGD, L=25, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS","Entropy SGD, L=25, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD, L=25, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03522667100677733","0.03522667100677733","0.03522667100677733"
"2","0.03342676749852415","0.03342676749852415","0.03342676749852415"
"4","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"6","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"7","0.0317605006357703","0.0317605006357703","0.0317605006357703"
