"Step","Entropy SGD, L=25, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=25, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=25, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.020444049870558017","0.020444049870558017","0.020444049870558017"
"2","0.026624809156996495","0.026624809156996495","0.026624809156996495"
"4","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"6","0.02792358024355337","0.02792358024355337","0.02792358024355337"
"7","0.028268315682204857","0.028268315682204857","0.028268315682204857"
