"Step","Entropy SGD, L=10, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=10, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=10, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.015683106677329278","0.015683106677329278","0.015683106677329278"
"4","0.020074377044095194","0.020074377044095194","0.020074377044095194"
"8","0.020444049870558017","0.020444049870558017","0.020444049870558017"
"12","0.020444049870558017","0.020444049870558017","0.020444049870558017"
"16","0.023851391848851114","0.023851391848851114","0.023851391848851114"
"19","0.023851391848851114","0.023851391848851114","0.023851391848851114"
