"Step","Entropy SGD, L=5, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=5, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=5, s=51, gamma=0.03, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.01916095062382328","0.01916095062382328","0.01916095062382328"
"8","0.023851391848851114","0.023851391848851114","0.023851391848851114"
"16","0.023851391848851114","0.023851391848851114","0.023851391848851114"
"24","0.027556027298994493","0.027556027298994493","0.027556027298994493"
"32","0.027545667703000078","0.027545667703000078","0.027545667703000078"
"39","0.027545667703000078","0.027545667703000078","0.027545667703000078"
