"Step","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay, scoping - complexity/PACBAYES_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay, scoping - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay, scoping - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03522667100677733","0.03522667100677733","0.03522667100677733"
"2","0.0331845455830234","0.0331845455830234","0.0331845455830234"
"4","0.032945807840641286","0.032945807840641286","0.032945807840641286"
"6","0.03271048011942892","0.03271048011942892","0.03271048011942892"
"8","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"9","0.03180185579846816","0.03180185579846816","0.03180185579846816"
