"Step","Entropy SGD, L=20, s=51, gamma=0.03, scoping, lr_decay - complexity/PACBAYES_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.03, scoping, lr_decay - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.03, scoping, lr_decay - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03577708763999664","0.03577708763999664","0.03577708763999664"
"2","0.03367255360213815","0.03367255360213815","0.03367255360213815"
"4","0.032945807840641286","0.032945807840641286","0.032945807840641286"
"6","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"8","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"9","0.03180185579846816","0.03180185579846816","0.03180185579846816"
