"Step","Entropy SGD, L=20, s=51, gamma=0.00003, scoping, lr_decay - complexity/PACBAYES_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.00003, scoping, lr_decay - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.00003, scoping, lr_decay - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03522667100677733","0.03522667100677733","0.03522667100677733"
"2","0.03367255360213815","0.03367255360213815","0.03367255360213815"
"4","0.03276899669146187","0.03276899669146187","0.03276899669146187"
"6","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"8","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"9","0.03180185579846816","0.03180185579846816","0.03180185579846816"
