"Step","Entropy-SGD, L=5, E=40, SEED=51 - complexity/PACBAYES_MAG_FLATNESS","Entropy-SGD, L=5, E=40, SEED=51 - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy-SGD, L=5, E=40, SEED=51 - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.017958694961812936","0.017958694961812936","0.017958694961812936"
"8","0.020438347755138156","0.020438347755138156","0.020438347755138156"
"16","0.020438347755138156","0.020438347755138156","0.020438347755138156"
"24","0.023851391848851114","0.023851391848851114","0.023851391848851114"
"32","0.026019699556579214","0.026019699556579214","0.026019699556579214"
"39","0.023851391848851114","0.023851391848851114","0.023851391848851114"
