"Step","Entropy SGD - L=20, E=10, SEED=51 - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD - L=20, E=10, SEED=51 - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD - L=20, E=10, SEED=51 - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.020444049870558017","0.020444049870558017","0.020444049870558017"
"2","0.02244836859605864","0.02244836859605864","0.02244836859605864"
"4","0.023851391848851114","0.023851391848851114","0.023851391848851114"
"6","0.023851391848851114","0.023851391848851114","0.023851391848851114"
"8","0.02631877644903756","0.02631877644903756","0.02631877644903756"
"9","0.02631877644903756","0.02631877644903756","0.02631877644903756"
