"Step","Entropy-SGD L=25, E=8, SEED=51 - complexity/PACBAYES_MAG_FLATNESS","Entropy-SGD L=25, E=8, SEED=51 - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy-SGD L=25, E=8, SEED=51 - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.022897335800380163","0.022897335800380163","0.022897335800380163"
"2","0.02792358024355337","0.02792358024355337","0.02792358024355337"
"4","0.02792358024355337","0.02792358024355337","0.02792358024355337"
"6","0.028268315682204857","0.028268315682204857","0.028268315682204857"
"7","0.028621669792125215","0.028621669792125215","0.028621669792125215"
