"Step","Entropy SGD, L=20, s=51, gamma=0.003, scoping, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.003, scoping, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.003, scoping, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.020444049870558017","0.020444049870558017","0.020444049870558017"
"2","0.023851391848851114","0.023851391848851114","0.023851391848851114"
"4","0.026281016599364906","0.026281016599364906","0.026281016599364906"
"6","0.02629988371964774","0.02629988371964774","0.02629988371964774"
"8","0.02631877644903756","0.02631877644903756","0.02631877644903756"
"9","0.02631877644903756","0.02631877644903756","0.02631877644903756"
