"Step","Entropy SGD, L=20, s=51, gamma=0.03, scoping, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.03, scoping, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.03, scoping, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.020074377044095194","0.020074377044095194","0.020074377044095194"
"2","0.022897335800380163","0.022897335800380163","0.022897335800380163"
"4","0.023851391848851114","0.023851391848851114","0.023851391848851114"
"6","0.024888409091472524","0.024888409091472524","0.024888409091472524"
"8","0.024888409091472524","0.024888409091472524","0.024888409091472524"
"9","0.0241024591164766","0.0241024591164766","0.0241024591164766"
