"Step","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay, scoping - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay, scoping - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay, scoping - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.020079878556085652","0.020079878556085652","0.020079878556085652"
"2","0.02631877644903756","0.02631877644903756","0.02631877644903756"
"4","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"6","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"8","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"9","0.02792358024355337","0.02792358024355337","0.02792358024355337"
