"Step","Entropy SGD, L=20, s=51, gamma=0.00003, scoping, lr_decay - complexity/PACBAYES_MAG_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.00003, scoping, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.00003, scoping, lr_decay - complexity/PACBAYES_MAG_FLATNESS__MAX"
"0","0.020444049870558017","0.020444049870558017","0.020444049870558017"
"2","0.027258733627224155","0.027258733627224155","0.027258733627224155"
"4","0.02775434745207018","0.02775434745207018","0.02775434745207018"
"6","0.027891691812580475","0.027891691812580475","0.027891691812580475"
"8","0.02775434745207018","0.02775434745207018","0.02775434745207018"
"9","0.028599327335583465","0.028599327335583465","0.028599327335583465"
