"Step","Entropy SGD, L=20, s=51, gamma=3, lr_decay - complexity/PACBAYES_FLATNESS","Entropy SGD, L=20, s=51, gamma=3, lr_decay - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=3, lr_decay - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03367255360213815","0.03367255360213815","0.03367255360213815"
"2","0.03247849090114595","0.03247849090114595","0.03247849090114595"
"4","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"6","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"8","0.030942346674889147","0.030942346674889147","0.030942346674889147"
"9","0.030942346674889147","0.030942346674889147","0.030942346674889147"
