"Step","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay - complexity/PACBAYES_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.0003, lr_decay - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03364163216422253","0.03364163216422253","0.03364163216422253"
"2","0.0331845455830234","0.0331845455830234","0.0331845455830234"
"4","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"6","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"8","0.031152838456103327","0.031152838456103327","0.031152838456103327"
"9","0.031152838456103327","0.031152838456103327","0.031152838456103327"
