"Step","Entropy SGD, L=20, s=51, gamma=0.00003, lr_decay - complexity/PACBAYES_FLATNESS","Entropy SGD, L=20, s=51, gamma=0.00003, lr_decay - complexity/PACBAYES_FLATNESS__MIN","Entropy SGD, L=20, s=51, gamma=0.00003, lr_decay - complexity/PACBAYES_FLATNESS__MAX"
"0","0.03536268169400897","0.03536268169400897","0.03536268169400897"
"2","0.03367255360213815","0.03367255360213815","0.03367255360213815"
"4","0.0331845455830234","0.0331845455830234","0.0331845455830234"
"6","0.03271048011942892","0.03271048011942892","0.03271048011942892"
"8","0.03180185579846816","0.03180185579846816","0.03180185579846816"
"9","0.03180185579846816","0.03180185579846816","0.03180185579846816"
